2026-07-04 17:16:39.378 INFO  c.j.b.BackendPortafolioApplication - Started BackendPortafolioApplication in 9.208 seconds (process running for 9.849)
2026-07-04 17:18:32.234 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-04 17:18:32.368 DEBUG c.j.b.s.controller.AuthController - Autenticando usuario de login: admin
2026-07-04 17:18:32.676 INFO  c.j.b.s.controller.AuthController - ¡Usuario de login: admin autenticado con éxito!
2026-07-04 17:19:19.415 DEBUG c.j.b.controller.PortfolioController - Recuperando el portafolio de: admin
2026-07-04 17:19:19.578 INFO  c.j.b.controller.PortfolioController - ¡Portafolio de admin recuperado con éxito!
2026-07-04 17:20:12.069 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-07-04 17:20:12.072 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-07-04 17:20:12.983 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-07-04 17:20:12.985 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-07-04 17:20:13.474 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
